site,sample_id_GC,date,run_GC,CO2.TCD.ppm_START,CO2.TCD.ppm_END,N2O.ECD.ppm_START,N2O.ECD.ppm_END,CH4.FID.ppm_START,CH4.FID.ppm_END,d15Nbulk_START,d15Nbulk_END,d15Nalpha_START,d15Nalpha_END,d15Nbeta_START,d15Nbeta_END,SP_START,SP_END,d18O_START,d18O_END,diff_n2o_ppb,SP_Keeling,Bulk_Keeling,d18O_Keeling
CHOE02,CH1,2023-03-01,16/03/2023,456.4643647,1033.354037,0.507236364,5.28685576,2.117468651,2.129468411,-3.73,-26.97,0.14,-18.37,-7.61,-35.58,7.75,17.21,35.27,19,4779.619396,18.213941026654915,-29.43634138049263,17.273348783966643
CHOE02,CH3,2023-03-01,16/03/2023,462.0438994,1857.532898,0.37539152,5.671719235,2.123468531,2.045470091,1.01,-23.97,6.38,-16.05,-4.37,-31.9,10.75,15.85,38.43,20.25,5296.327715,16.21147626336978,-25.740524913524915,18.961443437634788
CHOE02,CH4,2023-03-01,16/03/2023,449.1083272,1684.791031,0.335493849,1.261796368,2.129468411,2.099469011,2.37,-18.05,8.56,-16.92,-3.81,-19.19,12.38,2.28,39.8,26.76,926.302519,-1.3780790890626964,-25.44583910877824,22.037093928576486
CHOE02,CH5,2023-03-01,16/03/2023,440.3310875,651.432256,0.327450356,0.479222616,2.102468951,2.126468471,6.16,-3.33,13.81,1.59,-1.49,-8.25,15.29,9.83,43.04,35.53,151.77226,-1.9500113390945093,-23.80478161318808,19.327090630659388
CHOE02,CH1,2023-03-03,16/03/2023,472.3344563,917.131277,0.597711422,5.094000904,2.174467511,2.156467871,-13.12,-22.44,-12.42,-19.93,-13.81,-24.94,1.4,5.01,24.31,19.43,4496.289482,5.489893085633849,-23.678948354046394,18.781280260971414
CHOE02,CH3,2023-03-03,16/03/2023,488.9019897,1551.645436,0.435025469,3.078415687,2.159467811,2.144468111,-2.9,-18.51,0.18,-18.13,-5.99,-18.89,6.17,0.76,35.02,21.34,2643.390218,-0.13032930940883125,-21.07895388537373,19.08866821576473
CHOE02,CH4,2023-03-03,16/03/2023,458.89883149999997,1210.885883,0.333704961,0.461531615,2.162467751,2.153467931,5.03,-3.95,10.82,-0.28,-0.77,-7.63,11.59,7.34,42.58,37.56,127.82665399999999,-3.7550732094575525,-27.393237040218548,24.45476058553487
CHOE02,CH5,2023-03-03,16/03/2023,446.5817454,881.6933361,0.327493052,0.418394361,2.165467691,2.162467751,5.96,-1.16,12.13,2.88,-0.2,-5.21,12.33,8.09,43.77,39.51,90.90130899999998,-7.185583550507514,-26.811451622550347,24.162361810103288
CHOE02,CH1,2023-03-06,16/03/2023,459.6094326,1106.006422,0.376662078,2.219685675,2.168467631,2.114468711,-1.7,-23.49,1.94,-22.95,-5.34,-24.02,7.28,1.07,38.27,23.78,1843.0235969999999,-0.19914897247514732,-27.94326185349975,20.81865239755799
CHOE02,CH2,2023-03-06,16/03/2023,451.871776,892.1549637,0.327852929,0.374961907,2.147468051,2.129468411,4.92,0.96,10.88,6.31,-1.03,-4.4,11.92,10.71,43.16,41.91,47.108977999999965,2.2890564573487553,-26.599451594131402,33.21067815841811
CHOE02,CH3,2023-03-06,16/03/2023,453.1613854,1335.148963,0.344579262,0.734286858,2.141468171,2.138468231,3.17,-10.51,8.41,-9.16,-2.07,-11.86,10.48,2.7,41.15,29.68,389.707596,-4.17907211939487,-22.605849176519513,19.538231721149206
CHOE02,CH4,2023-03-06,16/03/2023,443.5551111,1092.215496,0.327444256,0.360552343,2.135468291,2.111468771,5.99,3.62,11.91,9.41,0.08,-2.17,11.83,11.58,43.91,42.53,33.10808700000001,9.107460164037864,-19.819677644921008,28.881580105489125
CHOE02,CH3,2023-03-17,18/04/2023,445.7233158,1658.423144,0.332364819,0.636163157,2.244201208,2.387750464,6.76,-2.91,13.3,-0.07,0.22,-5.76,13.08,5.7,42.49,35.89,303.79833800000006,-2.3739492532049327,-13.489280390039523,28.669394976808597
CHOE02,CH4,2023-03-17,18/04/2023,493.1968578,1282.660879,0.342674701,0.661293992,2.226257551,2.211304504,1.73,-1.35,5.21,2.61,-1.74,-5.32,6.95,7.92,35.9,37.79,318.61929100000003,8.963233945210177,-4.662536650770464,39.822692944790965
CHOE02,CH5,2023-03-17,18/04/2023,441.6972447,1121.159036,0.333754679,1.545072095,2.253173037,2.23522938,5.18,-16.76,12.19,-12.31,-1.83,-21.2,14.02,8.89,42.22,40.28,1211.3174159999999,7.476529442527227,-22.805135288684735,39.745471173197444
