Chamber,Burial Date,Retrieval Date,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd,Notes
1,3/17/2023,4/4/2023,324,1,3341,111,58,3.2,39,4,3.1,3.4,0.2,20,2.3,13.9,0,
2,3/17/2023,4/4/2023,479,0,3296,81,48,2.6,48,2,5.1,4.5,0.2,14,4.3,12.4,0,
3,3/17/2023,4/4/2023,49,1,3240,126,63,11.7,216,71,4.1,4.7,0,32,4.8,8.2,0,
4,3/17/2023,4/4/2023,43,0,3146,174,61,7.3,54,15,2.2,2.2,0.7,29,2.2,18.7,0.2,
5,3/17/2023,4/4/2023,385,2,3548,168,82,1.5,117,14,5.2,3.9,0.9,43,4.9,19.7,0.2,
1,4/4/2023,4/21/2023,893,1,2908,104,72,2.5,93,10,5.3,5.4,0.1,37,4.4,7.5,0.3,
2,4/4/2023,4/21/2023,619,1,3100,87,43,4.7,33,2,3.9,3.6,0.4,13,2.9,10.1,0.1,
3,4/4/2023,4/21/2023,35,1,3841,169,104,19.8,245,69,3.1,3.6,0.9,23,3.8,16.8,0,
4,4/4/2023,4/21/2023,111,0,3546,190,62,12.3,49,18,2.2,2.9,0.5,16,2.4,11,0,
5,4/4/2023,4/21/2023,423,1,2910,135,25,4,127,31,4.5,4.7,0,22,4.7,6.6,0.2,
1,4/21/2023,5/10/2023,724,1,2891,99,54,13.3,169,14,7.2,8,0.3,21,6.2,7.9,0.1,
2,4/21/2023,5/10/2023,76,2,3709,77,34,14,61,10,4.1,5,0.2,11,3.9,8.5,0,
3,4/21/2023,5/10/2023,65,2,3706,145,93,18.4,265,56,4.3,5.1,0.6,33,4.8,10.4,0,one cation probe was lost
4,4/21/2023,5/10/2023,47,1,3149,162,42,20.6,54,35,2.4,2.9,0.5,20,2.5,12.8,0.1,
5,4/21/2023,5/10/2023,58,1,2772,138,32,25,138,44,2.6,3.4,0.1,32,2.6,6.9,0,
1,5/10/2023,5/31/2023,67,0,3644,127,72,11,56,6,3.1,3.4,0.5,24,3.9,12,0,
2,5/10/2023,5/31/2023,28,2,2498,70,44,8,17,3,1,1.3,0.2,8,0.9,6.3,0.1,
3,5/10/2023,5/31/2023,94,1,3304,148,90,23.9,43,13,1.4,1.8,0.6,22,1.5,12.9,0.1,
4,5/10/2023,5/31/2023,16,1,2738,154,50,9.9,43,26,1,1.4,0.3,9,1.2,9.9,0,
5,5/10/2023,5/31/2023,52,1,2684,136,57,23.3,69,15,0.8,3.3,0,30,0.8,6.5,0.1,a couple of probes were in a soil crack
1,6/28/2023,7/11/2023,163,0,1964,77,316,8.3,13,4,0.9,1.2,0.3,10,0.8,9.6,0,several probes have missing resin membrane
2,6/28/2023,7/11/2023,65,1,1804,71,299,2,3,1,0.4,0.6,0.7,7,0,10.2,0,several probes have missing resin membrane
3,6/28/2023,7/11/2023,268,2,1820,94,643,8.3,17,5,1,1,0.3,17,0.9,8.4,0,several probes have missing resin membrane
4,6/28/2023,7/11/2023,104,1,1320,100,329,7.9,9,2,0.6,1.3,0.1,11,0.3,8.5,0,several probes have missing resin membrane
5,6/28/2023,7/11/2023,63,4,1223,93,285,12.3,5,1,0.5,1.5,0.1,9,0.2,6.1,0,several probes have missing resin membrane
1,8/2/2023,8/17/2023,207,0,3449,106,45,11.8,32,2,3,3,0.6,35,2.3,13.9,0.1,
2,8/2/2023,8/17/2023,69,0,3147,79,46,8,23,4,2.2,2.7,0.4,17,1.8,11.7,0,
3,8/2/2023,8/17/2023,360,0,2924,139,86,3.7,52,4,2.4,1.8,0.5,21,2,13.1,0,
4,8/2/2023,8/17/2023,185,0,3066,166,60,9.7,57,19,2.2,2.3,0.5,19,2.1,17.3,0,
5,8/2/2023,8/17/2023,187,0,2890,146,55,4.6,18,1,1.3,1.5,0.3,32,1,12.2,0,
1,8/17/2023,9/5/2023,220,1,3130,102,53,9.3,14,2,1.6,2,0.3,25,1.4,8.6,0.1,
2,8/17/2023,9/5/2023,83,0,2613,82,47,10,3,1,0.7,1,0.1,13,0.4,5.7,0,
3,8/17/2023,9/5/2023,420,0,2708,139,101,5.2,38,7,2.2,2.3,0.2,28,2.4,10.6,0,
4,8/17/2023,9/5/2023,320,0,3063,188,67,12.4,24,3,1.6,1.8,0.1,26,1.4,8.5,0.1,
5,8/17/2023,9/5/2023,230,1,2958,174,50,5.3,29,2,1.9,1.8,0.4,27,1.6,12.2,0,
